mode,alpha,seed,client_count,sample_count,minimum_samples,attempts,partition_checksum,source_file,evidence_type
joint_dirichlet,0.3,6005,10,25637,50,1,c3233a9a0937aacdd45e54e7b0cc2b5c2f564ca8ac20555737dcf978042eceff,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6005/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6005,10,25637,50,1,b2bf44e55e36c5463bb7038fa030d363c35588e8dfc9309059871b283cd85f79,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6005/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
iid,,6006,10,25637,50,1,ed09291c5aad9f7ac35a0321726fdd75da69298432d43f0141163fbcb2634935,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6006/clients_10/iid/partition_summary.csv,measured
joint_dirichlet,0.3,6006,10,25637,50,2,cd751cefe5377885b58ec23657af626b8da39e057fbec65cc933c8258e998fd3,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6006/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6006,10,25637,50,1,a25ca87dbb8aff59a6723e6029d379825902cbdbf10fae4211cf43390ba4d2af,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6006/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
iid,,6007,10,25637,50,1,946dc9951034f9872d4bdcf30896e3b81e8b274d8a4bc7fb6dcd96c645da333e,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6007/clients_10/iid/partition_summary.csv,measured
joint_dirichlet,0.3,6007,10,25637,50,1,ade0265ea25d23030c583500da167fb13cfdfc0675c14c7f21249d3bddf09c1c,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6007/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6007,10,25637,50,1,0620e303f54833229efda8e8f397be82625dbbf48d96a7e8d07d0c2ff10d4e46,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6007/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
iid,,6008,10,25637,50,1,03eeaa1fe92e7e64ac8424e1e27e0d3216ac6d1a5dc12fa704cb8ca5f49a622e,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6008/clients_10/iid/partition_summary.csv,measured
joint_dirichlet,0.3,6008,10,25637,50,1,9385d4da9dfdf92a75406f73d0ad3eb270cf7380070ae9448f9bd1444026082e,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6008/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6008,10,25637,50,1,be770ade769b5bd1b3ad2546fe58f2eac928dfc1d748b53884cc5ca797e4d4a8,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6008/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
iid,,6009,10,25637,50,1,f31df130e018406b95012adb8d96e1833f0c522fed32f7c9dad742ab9c39b1ec,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6009/clients_10/iid/partition_summary.csv,measured
joint_dirichlet,0.3,6009,10,25637,50,1,19cbc46a16c6dc31289b1ea375216bf8b78c7f591e3298a6c2c4f0eeb6daeb28,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6009/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6009,10,25637,50,1,3ad47b7adc90b2330946333e6fb07862862a1cccb27bb0e66e913c481df7b024,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6009/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
iid,,6010,10,25637,50,1,210217b8bb672b1ccc8158952950494e36a6446d58fade7bcc7d12169f1bc262,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6010/clients_10/iid/partition_summary.csv,measured
joint_dirichlet,0.3,6010,10,25637,50,1,5f7720df76667a03f95243a8adee60216256d225d7622106bcce707541f8f445,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6010/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6010,10,25637,50,1,c2809f3092d05dce06cd0a847c860aa1c33102a88fb7dfd5bfba8d5627d55ec2,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6010/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
